a,b
mailroom,uc_sidewindow
uc_sidewindow,baxter_nsrv
uc_sidewindow,uc
uc_sidewindow,baunfit_north
uc,uc_front_west
uc_front_west,uc_fountain
uc_front_west,uc_stagg
uc_fountain,uc_front_east
uc_fountain,mcc_uc
uc_front_east,uc_alt
uc_front_east,mcc_handhall
mcc_handhall,mcc_northeast
mcc_handhall,mcc_uc
mcc_uc,uc_stagg
uc_stagg,baunfit_east
uc_stagg,mcc_stagg_dumpsters
baunfit_east,baunfit_west
baunfit_west,baxter_baunfit
baxter_baunfit,baunfit
baunfit,baunfit_north
baunfit_north,baxter_nsrv
baxter_nsrv,baxter_baunfit
baunfit_west,baxter_lot5
baxter_lot5,baxter_musichalls
baxter_musichalls,musichalls_baxter
musichalls_baxter,musichalls
musichalls,musichalls_stagg
musichalls_stagg,baunfit_east
musichalls_stagg,gym_southeast
gym_southeast,gym_southwest
gym_southwest,baxter_gym
baxter_gym,baxter_musichalls
gym_southeast,wpc_engcy
wpc_engcy,wpc_east
wpc_east,wpc_ctc
wpc_ctc,wpc_southwest
wpc_ctc,ctc_brubeck_west
wpc_southwest,wpc_west
wpc_west,wpc_northwest
wpc_northwest,baxter_gym
wpc_northwest,wpc_back_west
wpc_back_west,wpc_back_east
wpc_back_east,wpc_engcy
wpc_engcy,engcy_ctcstagg
engcy_ctcstagg,ctc_brubeck_west
ctc_brubeck_west,chambers
chambers,ctc_brubeck_east
ctc_brubeck_east,ctc_mculab
ctc_mculab,chambers_alt
chambers_alt,engcy_4way
engcy_4way,engcy_finance
engcy_finance,engcy_khourybaun
engcy_mcc,engcy_4way
engcy_4way,engcy_ctcstagg
engcy_ctcstagg,engcy_finance
engcy_finance,engcy_stagg
engcy_stagg,engcy_ctcstagg
engcy_stagg,mcc_stagg_dumpsters
mcc_stagg_dumpsters,uc_stagg
wpc_southwest,baxter_lotxing_n
baxter_lotxing_n,baxter_gym
baxter_lotxing_n,baxter_lotxing_s
baxter_lotxing_s,edu_driveway
edu_driveway,edu_northeast
edu_northeast,bio_northeast
bio_northeast,bio_northwest
bio_northeast,bio_southeast
bio_southeast,bio_south
bio_south,bio_southeast
baxter_lotxing_s,baxter_clocktower
baxter_clocktower,baxter_alumni
baxter_alumni,baxter_greenpath_n
baxter_greenpath_n,baxter_greenpath_s
baxter_greenpath_s,classroom_baxter
classroom_baxter,classroom_olson
classroom_olson,olson
classroom_baxter,classroom_greenpath
classroom_greenpath,classroom
classroom,classroom_northeast
classroom_northeast,classroom_east
classroom_east,classroom_alt
engcy_khourybaun,engcy_mcc
engcy_mcc,anderson_pagoda
anderson_pagoda,anderson_knoles
anderson_knoles,mcc_northeast
anderson_knoles,library
library,library_alt