name,lat,lng
chambers,37.978826,-121.311123
chambers_alt,37.979507,-121.311247
uc,37.981062,-121.312715
uc_alt,37.981696,-121.311619
mailroom,37.982428,-121.315054
classroom,37.976430,-121.311050
classroom_alt,37.975702,-121.311103
library,37.980006,-121.309482
library_alt,37.979304,-121.309210
olson,37.976027,-121.312109
baunfit,37.980591,-121.312969
uc_front_west,37.980896,-121.312506
uc_sidewindow,37.981112,-121.312798
uc_fountain,37.981112,-121.311882
uc_front_east,37.981594,-121.311430
uc_stagg,37.980533,-121.312084
mcc_uc,37.980752,-121.311228
uc_west_mcc,37.980789,-121.311105
mcc_handhall,37.980781,-121.311112
mcc_northeast,37.980902,-121.310560
mcc_southeast,37.980145,-121.310244
mcc_stagg_dumpsters,37.980311,-121.311985
engcy_finance,37.979834,-121.311540
engcy_stagg,37.979783,-121.311764
engcy_khourybaun,37.979945,-121.311093
engcy_mcc,37.979985,-121.310940
engcy_4way,37.979701,-121.311369
engcy_ctcstagg,37.979523,-121.311654
engcy_anderson,37.980048,-121.310654
musichalls,37.980190,-121.312589
musichalls_baxter,37.980114,-121.312908
musichalls_stagg,37.980287,-121.312213
baxter_nsrv,37.980769,-121.313368
baxter_baunfit,37.980500,-121.313224
baxter_musichalls,37.980041,-121.313224
baxter_lot5,37.980769,-121.313368
baxter_gym,37.979514,-121.312871
baxter_lotxing_n,37.978497,-121.312428
baxter_lotxing_s,37.978306,-121.312337
baxter_clocktower,37.977922, -121.312187
baxter_alumni,37.977693,-121.312095
baxter_greenpath_n,37.977052,-121.311835
baxter_greenpath_s,37.976785,-121.311729
classroom_olson,37.976124,-121.311729
classroom_baxter,37.976401,-121.311572
classroom_greenpath,37.976304,-121.311194
classroom_northeast,37.976573,-121.310440
classroom_east,37.976280,-121.310355
bio_southeast,37.977244,-121.310634
bio_south,37.977134,-121.311041
bio_southwest,37.977060,-121.311359
bio_northeast,37.977986,-121.310938
bio_northwest,37.977808,-121.311620
edu_northeast,37.978570,-121.311620
edu_driveway,37.978381,-121.312006
anderson_pagoda,37.980102,-121.310412
anderson_knoles,37.9801738,-121.3101303
ctc_mculab,37.979492,-121.311155
ctc_brubeck_east,37.978883,-121.310903
ctc_brubeck_west,37.978775,-121.311349
wpc_ctc,37.978720, -121.311564
wpc_engcy,37.979450,-121.311864
wpc_east,37.979150,-121.311739
wpc_back_east,37.979401,-121.312030
wpc_back_west,37.979248,-121.312446
wpc_southwest,37.978525,-121.312326
wpc_northwest,37.979257,-121.312609
wpc_west,37.978942,-121.312492
gym_southeast,37.979676,-121.311963
gym_southwest,37.979500,-121.312710
baunfit_north,37.980790,-121.313255
baunfit_east,37.980492,-121.312334
baunfit_west,37.980311,-121.313142